Plant,Style_CD,Activity,SAH,Pack_Unit,Pack_Qty,Size,Operation_code
95,G30ECF,SEW,0.2762,X,1,16,60500
95,G30ECF,SEW,0.2671,X,1,8,60500
95,G30ECI,SEW,0.2671,X,1,4,60500
95,G30EBH,SEW,0.2671,X,1,6,60500
95,G30ETC,SEW,0.2671,X,1,6,60500
95,G30ETE,SEW,0.2762,X,1,10,60500
95,G30ETF,SEW,0.2762,X,1,14,60500
95,G30ETH,SEW,0.2671,X,1,6,60500
95,G30ETH,SEW,0.2671,X,1,8,60500
95,G30ETI,SEW,0.2762,X,1,12,60500
95,G30ETI,SEW,0.2762,X,1,14,60500
95,G30ETK,SEW,0.2762,X,1,16,60500
95,G30ETL,SEW,0.2762,X,1,16,60500
95,G30ETL,SEW,0.2671,X,1,4,60500
95,G30ETL,SEW,0.2671,X,1,6,60500
95,G30ETO,SEW,0.2762,X,1,14,60500
95,G30ETR,SEW,0.2762,X,1,16,60500
95,G30BAB,SEW,0.2763,X,1,12,60500
95,G30BAC,SEW,0.2672,X,1,8,60500
95,G30BAF,SEW,0.2672,X,1,4,60500
95,G30BAH,SEW,0.2672,X,1,8,60500
95,G30BAH,SEW,0.2763,X,1,12,60500
95,G30BAI,SEW,0.2763,X,1,10,60500
95,G30BAJ,SEW,0.2672,X,1,8,60500
95,G30BAJ,SEW,0.2763,X,1,14,60500
95,G30BAL,SEW,0.2672,X,1,4,60500
95,G30BAL,SEW,0.2763,X,1,10,60500
95,G30BAL,SEW,0.2763,X,1,14,60500
95,G30BAS,SEW,0.2763,X,1,12,60500
95,G30BAS,SEW,0.2763,X,1,14,60500
95,G30BAT,SEW,0.2763,X,1,14,60500
95,G30BAU,SEW,0.2763,X,1,10,60500
95,G30BAW,SEW,0.2672,X,1,4,60500
95,G30BAW,SEW,0.2763,X,1,16,60500
95,G30BBC,SEW,0.2672,X,1,4,60500
95,G30BBC,SEW,0.2672,X,1,6,60500
95,G30BBC,SEW,0.2763,X,1,16,60500
95,G30BBD,SEW,0.2763,X,1,10,60500
95,G30BBI,SEW,0.2672,X,1,4,60500
95,G30BBI,SEW,0.2763,X,1,10,60500
